md5,Arch,ByteOrder,Machine,VT_score,label
002c62818784dc010c1045587ab9346f,32 bit,Big endian,PowerPC,38,Gaygyt/BASHLITE (2014)
002e26639ce484daa1f337fcbf57701b,32 bit,Little endian,ARM,38,Mirai (2016)
003299016e03c1a5cf586bcc10f8d005,32 bit,Little endian,i386,43,Gaygyt/BASHLITE (2014)
003331baa1947ac3154aa14828905155,32 bit,Big endian,SPARC,39,Gaygyt/BASHLITE (2014)
003693b565bdd9d7a4ac71306a33b529,32 bit,Little endian,i386,42,Gaygyt/BASHLITE (2014)
003717dbddb029012167a10c693c1daa,32 bit,Big endian,MIPS R3000,41,Gaygyt/BASHLITE (2014)
0037a861540c7ca402733ca8492b0cda,32 bit,Little endian,i386,40,Mirai (2016)
003b20e9a44fdc38fc8c763f4acc52f9,32 bit,Little endian,MIPS R3000,40,Gaygyt/BASHLITE (2014)
003d1793c91150ae6cfbc3c416245fe6,32 bit,Big endian,PowerPC,40,Gaygyt/BASHLITE (2014)
003d56f27e4b308345fa4ef3775d5c83,32 bit,Big endian,MIPS R3000,38,Gaygyt/BASHLITE (2014)
003e4419b6d33dad1b64153a6ec30657,32 bit,Big endian,MIPS R3000,40,Gaygyt/BASHLITE (2014)
003e45c9743c8ea9e8092a2c29c2b260,32 bit,Big endian,Motorola 68000,37,Gaygyt/BASHLITE (2014)
003e5ca0c999a6420616034441ca8c75,32 bit,Little endian,ARM,40,Tsunami/Kaiten (2013)
003e6aa5d664e725c7bc5342f0fcd9fa,32 bit,Little endian,i386,41,Mirai (2016)
003f06cafa0e05d5d9e2bb56f656f6ef,32 bit,Little endian,i386,40,Gaygyt/BASHLITE (2014)
003f5ba401969f78b8a54fc50bf66a7d,32 bit,Big endian,PowerPC,39,Gaygyt/BASHLITE (2014)
003f7e2a32d6132d74bd1eafc793b6c1,32 bit,Little endian,ARM,40,Gaygyt/BASHLITE (2014)
0042a1c71b68ae9f1fca38312809ad8d,32 bit,Big endian,PowerPC,40,Gaygyt/BASHLITE (2014)
0043f86cd197784200a53b80926dd0a4,64 bit,Little endian,AMD x86-64,36,Gaygyt/BASHLITE (2014)
00442d98791d210c29a26fa5046249d9,32 bit,Little endian,i386,41,Gaygyt/BASHLITE (2014)
0049314a8bc76bb32fbbf1caa6b40b05,32 bit,Little endian,i386,42,Gaygyt/BASHLITE (2014)
005172e0541eee1617d10dcead1283dd,32 bit,Little endian,ARM,37,Mirai (2016)
0052b54bef536d0581a1a28d4cdfe889,32 bit,Little endian,ARM,41,Mirai (2016)
005449f26bb0033c8ba5cfbb5c2c6f6b,64 bit,Little endian,AMD x86-64,42,Gaygyt/BASHLITE (2014)
0057946e18f7a7e6940deb7a2e6e6aa1,32 bit,Little endian,i386,41,Mirai (2016)
00590a17e06037744b2705682efb6cb8,32 bit,Little endian,i386,40,Gaygyt/BASHLITE (2014)
00598c4fedb6b6d22472a53c044c680b,64 bit,Big endian,MIPS R3000,38,Mirai (2016)
005cc5183028ab6cdc517d4b383a6b65,64 bit,Little endian,AMD x86-64,31,Gaygyt/BASHLITE (2014)
005fd222a6bab3c3dfd6068bf6260a5c,32 bit,Big endian,MIPS R3000,40,Gaygyt/BASHLITE (2014)
0060858f4422768602b0851d25332904,32 bit,Little endian,ARM,41,Mirai (2016)
00611a92fb4b0a644637e20bf1bdf7a1,32 bit,Big endian,MIPS R3000,41,Mirai (2016)
00639acf1d3eceeedb851e78f4ec34b0,32 bit,Little endian,i386,40,Gaygyt/BASHLITE (2014)
006d039b045b3cae222e3b5d3e403ae5,32 bit,Little endian,MIPS R3000,40,Gaygyt/BASHLITE (2014)
00714e4877543a21a2d0e1cc00c29b17,32 bit,Little endian,MIPS R3000,41,Gaygyt/BASHLITE (2014)
0071d3966de5165f893ce025b0a9c3cb,32 bit,Little endian,ARM,42,Mirai (2016)
00762a04724423d344db33681eb2fe6e,32 bit,Little endian,i386,40,Gaygyt/BASHLITE (2014)
007858818b5f3e09f4717b773fef7447,32 bit,Big endian,SPARC,41,Gaygyt/BASHLITE (2014)
0079d8b72e6e6d78819b4130e6e2e119,32 bit,Little endian,i386,38,Gaygyt/BASHLITE (2014)
007a26d9a9967e475b20ea254aa6ad91,32 bit,Little endian,ARM,40,Mirai (2016)
007e48987f344b7edc56b22d9f83cde0,32 bit,Little endian,ARM,40,Gaygyt/BASHLITE (2014)
007f95f297b2d363de53c61079412e30,32 bit,Little endian,i386,41,Mirai (2016)
00807c43e4ba92a242b5c62dffe639d3,32 bit,Big endian,MIPS R3000,39,Gaygyt/BASHLITE (2014)
0080ffdda4a2e12d51f7cb0133f8dfd7,32 bit,Little endian,ARM,40,Gaygyt/BASHLITE (2014)
00817af46fd2de144c0339616cddc19d,32 bit,Little endian,ARM,41,Gaygyt/BASHLITE (2014)
0083bf894fa0488633abe48224687686,32 bit,Little endian,i386,41,Gaygyt/BASHLITE (2014)
008713494b9e94a405499b40a2c988da,32 bit,Big endian,MIPS R3000,41,Gaygyt/BASHLITE (2014)
00874fbd11bf773d6bf45419741c4593,32 bit,Little endian,ARM,38,Gaygyt/BASHLITE (2014)
00885ad8a0536145c63cc22f39413ab9,32 bit,Little endian,i386,37,Others
0089ca090d51c1b6d3a27300cba723bd,32 bit,Little endian,ARM,41,Mirai (2016)
009a0e2a0e4c8a1ce399aa11558d1a95,32 bit,Little endian,i386,42,Gaygyt/BASHLITE (2014)
009a659342cd03117ce2f931c5052c10,32 bit,Little endian,i386,40,Mirai (2016)
009a9c6eee3e0fa532cfebe6a52be113,32 bit,Little endian,i386,42,Mirai (2016)
009c4e3c30673aed0025b59e8b1581e4,32 bit,Big endian,MIPS R3000,35,Mirai (2016)
00a0355c5cede080783b21a6109a606c,32 bit,Big endian,PowerPC,41,Gaygyt/BASHLITE (2014)
00a20ee3ad67ef92e3908db76c18486f,32 bit,Little endian,i386,42,Gaygyt/BASHLITE (2014)
00a46c090d11c381bb5e8809304bb31f,32 bit,Big endian,MIPS R3000,39,Gaygyt/BASHLITE (2014)
00a542af9bc95aa8a67053f022f9b649,32 bit,Big endian,PowerPC,40,Gaygyt/BASHLITE (2014)
00a5d908534b230d8d59d2db43d8e934,32 bit,Little endian,ARM,40,Mirai (2016)
00a7cf8c9de6c0063073a9147b483663,32 bit,Big endian,MIPS R3000,40,Gaygyt/BASHLITE (2014)
00ac5b2b1a16314b9861e22a4e262847,32 bit,Little endian,ARM,38,Gaygyt/BASHLITE (2014)
00adfa4d9f5f1c7ad8ffac4c5419acb3,32 bit,Big endian,PowerPC,37,Gaygyt/BASHLITE (2014)
00b0051fbcd9f28370c38f80dbbe3536,32 bit,Little endian,i386,37,Gaygyt/BASHLITE (2014)
00b182127839984f29fe6a129c75d673,32 bit,Little endian,i386,41,Gaygyt/BASHLITE (2014)
00b29766fe682d04d00ab6eec106b1ac,32 bit,Little endian,ARM,40,Gaygyt/BASHLITE (2014)
00b732836cdbeadfd8a50e2020bae131,32 bit,Little endian,i386,42,Gaygyt/BASHLITE (2014)
00b952642adabd9561b8b43d8f2ff5fd,32 bit,Little endian,ARM,42,Gaygyt/BASHLITE (2014)
00bc2d2f9ef2a26671539a43e69d709b,32 bit,Big endian,SPARC,40,Gaygyt/BASHLITE (2014)
00bee26d631bdd1cca5dd895777796e2,32 bit,Big endian,MIPS R3000,40,Gaygyt/BASHLITE (2014)
00c3c9c3981b27c0d4575e51e616ddf9,32 bit,Little endian,ARM,37,Gaygyt/BASHLITE (2014)
00c5c8bb11e839d1be38acb0518cf638,64 bit,Little endian,AMD x86-64,41,Gaygyt/BASHLITE (2014)
00cbce23f01057514f1d671b187586b4,32 bit,Little endian,i386,41,Gaygyt/BASHLITE (2014)
00cca876b17f6c5116f35f530e872f98,32 bit,Little endian,ARM,37,Mirai (2016)
00d40cfcb2d0b51a6b7ca997eb0b70a5,32 bit,Little endian,i386,34,Mirai (2016)
00d85b064b98a44ccb5771a35dd8232b,32 bit,Big endian,PowerPC,38,Gaygyt/BASHLITE (2014)
00ddda62167baa1da0802ecee5b9f663,32 bit,Little endian,ARM,40,Gaygyt/BASHLITE (2014)
00de90454c93bf2d86fa1536144e3483,32 bit,Little endian,ARM,39,Gaygyt/BASHLITE (2014)
00df526a7cb0bcf217631ae6646f14ca,32 bit,Big endian,PowerPC,41,Gaygyt/BASHLITE (2014)
00e5c90d74ca7abd58817bb0ee93133e,32 bit,Big endian,PowerPC,40,Gaygyt/BASHLITE (2014)
00e7f3c48a9472bfa1a2a6e441cd9a11,32 bit,Big endian,Motorola 68000,39,Gaygyt/BASHLITE (2014)
00f1df04df00c96dd53b7ce56cedd0b4,32 bit,Big endian,PowerPC,39,Mirai (2016)
00f87a46e10716d679e96a30cff11a37,64 bit,Little endian,AMD x86-64,40,Gaygyt/BASHLITE (2014)
00fb2682e7e16dba23f90f1d3bde87fa,32 bit,Little endian,MIPS R3000,31,Mirai (2016)
00fba31320d793db643fe34f22e1c427,32 bit,Little endian,i386,43,Gaygyt/BASHLITE (2014)
00fe770362d561018e080e4e4ac95ecf,32 bit,Little endian,ARM,41,Mirai (2016)
0101c559c2b5f2ed7307e2fc91692dc4,32 bit,Little endian,i386,41,Mirai (2016)
010328968215a066913c6fe138cb86aa,32 bit,Big endian,SPARC,39,Gaygyt/BASHLITE (2014)
0106e6ef1bd277fbef12b231fc5ff6be,32 bit,Little endian,ARM,40,Gaygyt/BASHLITE (2014)
0107142f0de23f0c3a7c89688e8a1820,32 bit,Little endian,i386,37,Mirai (2016)
01080be089e6bb16d2bb3c589fc93414,32 bit,Little endian,SuperH,37,Gaygyt/BASHLITE (2014)
0111017d93acd96f1fc45a9bee692da8,32 bit,Little endian,ARM,39,Gaygyt/BASHLITE (2014)
0112bf82e47af7b3e3e92abe51e22129,32 bit,Little endian,i386,42,Gaygyt/BASHLITE (2014)
0113b2ae170c2d26274d05dcba267193,32 bit,Little endian,i386,43,Gaygyt/BASHLITE (2014)
0115a90d6393325b0df0af1ec5c1afaa,32 bit,Little endian,ARM,40,Gaygyt/BASHLITE (2014)
01168526e81594f0a9dddfd18d743b29,32 bit,Big endian,SPARC,38,Gaygyt/BASHLITE (2014)
0116e0a576319c85a825c18f263f7a4c,32 bit,Little endian,ARM,39,Gaygyt/BASHLITE (2014)
0117c4cc13856c167504d19b12c0aa6a,32 bit,Little endian,MIPS R3000,41,Gaygyt/BASHLITE (2014)
011822bd1541ba54244ace2b7201d69a,32 bit,Big endian,MIPS R3000,38,Gaygyt/BASHLITE (2014)
011f73eaefbab99b3585284f3df49768,32 bit,Little endian,ARM,39,Mirai (2016)
0120966b30c88fd468d1db69e1ae5e1c,32 bit,Big endian,MIPS R3000,40,Gaygyt/BASHLITE (2014)
0121e799ec40e17cf7a9ca083b1712cc,32 bit,Little endian,i386,27,Mirai (2016)
01224ba40b255dc61f31a79bb9ea3e25,32 bit,Little endian,ARM,20,Mirai (2016)
0122790f0bcf77b952fcba454546175e,64 bit,Little endian,AMD x86-64,42,Gaygyt/BASHLITE (2014)
012ce56fdfa7da39287ddee970608dcc,32 bit,Little endian,i386,41,Mirai (2016)
012e071e955704414d5db672559b8b0d,32 bit,Big endian,MIPS R3000,40,Gaygyt/BASHLITE (2014)
012e3d6e54a996c9b6289b3a3c7b5dcf,32 bit,Big endian,MIPS R3000,40,Gaygyt/BASHLITE (2014)
012e87d73524b86239cf1f4041c4d442,32 bit,Little endian,ARM,30,Gaygyt/BASHLITE (2014)
012f44228f92c7e419829d10091f9fee,32 bit,Little endian,ARM,26,Gaygyt/BASHLITE (2014)
012f47018f7a6f39d603d55f93343625,32 bit,Little endian,MIPS R3000,38,Gaygyt/BASHLITE (2014)
013182a77c1f9a5e29d2f5de5a7f2558,32 bit,Big endian,PowerPC,42,Gaygyt/BASHLITE (2014)
0134b7f67dd8bc7428ff8f53bd5672cd,32 bit,Little endian,MIPS R3000,41,Gaygyt/BASHLITE (2014)
013601f7b4746756aebed63b02f6699c,32 bit,Little endian,ARM,41,Mirai (2016)
013e8fe4833ef738268398d39d162718,32 bit,Big endian,SPARC,39,Gaygyt/BASHLITE (2014)
013ecf7d858575718b818ef4f0c4133b,32 bit,Little endian,SuperH,39,Mirai (2016)
01411f0a435be54b7805340ffc2502b3,32 bit,Little endian,ARM,40,Gaygyt/BASHLITE (2014)
0142a6a97172137b60e8cb983f304913,64 bit,Little endian,AMD x86-64,39,Gaygyt/BASHLITE (2014)
0145114044f60836563100a5a45d3953,32 bit,Little endian,ARM,41,Gaygyt/BASHLITE (2014)
0150359567d5a652d2eee66914b353c4,32 bit,Big endian,SPARC,40,Gaygyt/BASHLITE (2014)
0153d470ee7fcbbc2f48aa7530b8bdde,32 bit,Little endian,i386,36,Mirai (2016)
0157a257c9a366e1b80173f4ec7deb1f,64 bit,Little endian,AMD x86-64,39,Gaygyt/BASHLITE (2014)
0158dcd34c054eacfb18f0af2bf2414f,32 bit,Little endian,ARM,41,Gaygyt/BASHLITE (2014)
0158f13c48665c4c0ee473ed97463b57,32 bit,Little endian,ARM,41,Gaygyt/BASHLITE (2014)
015f0be3af8c1bbfd649e46ace577ccd,32 bit,Big endian,PowerPC,40,Mirai (2016)
0166a8a432b84f475062104895e5e5d5,32 bit,Little endian,ARM,37,Gaygyt/BASHLITE (2014)
0169f4283825d3834d5be41993fabaa7,32 bit,Little endian,i386,41,Gaygyt/BASHLITE (2014)
016d016c13fb3cf7d8dde474c1288b8d,32 bit,Little endian,ARM,19,Gaygyt/BASHLITE (2014)
0170775a35c7b7c5f8c4ace1db856a84,32 bit,Little endian,MIPS R3000,40,Gaygyt/BASHLITE (2014)
01731c7e69a6bddb7fc5bc0b6fb6d7ad,32 bit,Little endian,ARM,40,Mirai (2016)
0175fa8f34a023e7396f829ad52c45e4,32 bit,Little endian,ARM,41,Mirai (2016)
017bb422805ec3b465c334ef25a4c148,32 bit,Big endian,SPARC,40,Gaygyt/BASHLITE (2014)
017c8ece8b3e25a54c219d686cd24fec,32 bit,Big endian,PowerPC,41,Gaygyt/BASHLITE (2014)
017faadd594c0eb5c3f48af9ae902a65,32 bit,Little endian,ARM,39,Tsunami/Kaiten (2013)
01814dafbd0b380b2f69349c532bc2ae,32 bit,Big endian,PowerPC,39,Gaygyt/BASHLITE (2014)
0183cd4246f96864607426a178d525a6,32 bit,Little endian,SuperH,36,Gaygyt/BASHLITE (2014)
0186ef8ef6676a1344b0af6f574d2029,32 bit,Big endian,MIPS R3000,39,Mirai (2016)
018b2a270be184829bd3b13d856c6a0f,32 bit,Little endian,i386,42,Mirai (2016)
018bea108bd3d40a45dbfb335f2600ea,32 bit,Big endian,MIPS R3000,37,Gaygyt/BASHLITE (2014)
018d601ebec7ff74aa5bcf85a830cfc5,32 bit,Big endian,MIPS R3000,40,Gaygyt/BASHLITE (2014)
019164e1ae84cd1f5efe178c60012bd0,32 bit,Big endian,SPARC,39,Gaygyt/BASHLITE (2014)
01917cbdfca08361223799f16d48f588,32 bit,Big endian,SPARC,32,Gaygyt/BASHLITE (2014)
01919558a5785fa89e533992561db888,32 bit,Little endian,ARM,39,Gaygyt/BASHLITE (2014)
0199610141410dc1ae04b5126b05e972,32 bit,Little endian,ARM,29,Gaygyt/BASHLITE (2014)
0199a948c6970ff8b62975707765ba2d,32 bit,Little endian,ARM,40,Gaygyt/BASHLITE (2014)
01a0439d92212cbd510aee129570e948,32 bit,Little endian,ARM,39,Gaygyt/BASHLITE (2014)
01a1ff449546af798f4fd3e1eb3e4fba,32 bit,Little endian,i386,33,Mirai (2016)
01a25008149dd63e478479fa8c09dd74,32 bit,Little endian,MIPS R3000,38,Gaygyt/BASHLITE (2014)
01a8c74c7c5720e0d243b20e4853360f,32 bit,Big endian,MIPS R3000,40,Gaygyt/BASHLITE (2014)
01a96914cc2d20600ec8d9a7714540f7,32 bit,Little endian,ARM,37,Gaygyt/BASHLITE (2014)
01ad9719f789db5aa6a9d1a8e35c9be9,32 bit,Little endian,ARM,40,Gaygyt/BASHLITE (2014)
01ad986a3cae473897d45146c3523b70,32 bit,Big endian,SPARC,41,Gaygyt/BASHLITE (2014)
01b1a9c4144ee20eb545b361926f98ce,32 bit,Big endian,PowerPC,40,Gaygyt/BASHLITE (2014)
01b5219446ced7d6da88e3dac6546a1f,32 bit,Little endian,i386,39,Gaygyt/BASHLITE (2014)
01b76aa424c3cf3c7027eb49bc81f6c4,32 bit,Little endian,i386,39,Gaygyt/BASHLITE (2014)
01bf16924cbfb5e86a18225fd11a8551,32 bit,Big endian,SPARC,40,Gaygyt/BASHLITE (2014)
01c2b254868b32bd952daa57092cccc9,32 bit,Little endian,ARM,40,Gaygyt/BASHLITE (2014)
01c424d0ebf804a67e893744f0928507,32 bit,Little endian,i386,41,Mirai (2016)
01c6a6f00b588d614efeb81cc7e65336,32 bit,Big endian,PowerPC,38,Gaygyt/BASHLITE (2014)
01c6fa204e3f8de905336667164095f9,32 bit,Little endian,MIPS R3000,41,Gaygyt/BASHLITE (2014)
01c894bf2d8b062f30960e768577ed1e,32 bit,Little endian,ARM,40,Mirai (2016)
01cb6b71fe433dcddfb5b3f22ac3b744,32 bit,Little endian,ARM,39,Gaygyt/BASHLITE (2014)
01cba9e39df28da148b810dac19ae5cd,32 bit,Big endian,PowerPC,40,Gaygyt/BASHLITE (2014)
01cc2ddbb12a7ba8872344120c80fd05,32 bit,Little endian,i386,31,Mirai (2016)
01cc512817c8449dbdae9bf82db22145,32 bit,Big endian,MIPS R3000,36,Gaygyt/BASHLITE (2014)
01d2283e70d108d4eb23db80a9e35d02,32 bit,Little endian,MIPS R3000,40,Gaygyt/BASHLITE (2014)
01d87ee11755b4808298e96a31dcc50b,64 bit,Little endian,AMD x86-64,42,Mirai (2016)
01d8f118d6aa24a8e96058fc29244642,32 bit,Little endian,ARM,42,Gaygyt/BASHLITE (2014)
01d983a7b221b712c0451ed524c1d4cc,32 bit,Little endian,ARM,40,Gaygyt/BASHLITE (2014)
01db52d0c483286d8209391df526b54d,32 bit,Big endian,SPARC,39,Gaygyt/BASHLITE (2014)
01dbf55c39d55d6aa5eb1c76d0c44f7e,32 bit,Little endian,ARM,39,Gaygyt/BASHLITE (2014)
01dc08fc7b87017657f7d76f7747d03d,32 bit,Big endian,PowerPC,38,Gaygyt/BASHLITE (2014)
01e0c47361d7c7935b159f2e04679c7b,32 bit,Big endian,PowerPC,35,Gaygyt/BASHLITE (2014)
01e3f7463ea4e0124542da3de7d1f8c1,32 bit,Little endian,ARM,40,Gaygyt/BASHLITE (2014)
01e63a8fe7653ce66dcc2ce6ec8e30a5,32 bit,Little endian,i386,41,Gaygyt/BASHLITE (2014)
01e65ad24a0c47584f81e8d15219eb58,32 bit,Little endian,ARM,41,Gaygyt/BASHLITE (2014)
01e98f8fab9c8187dd7f2461ce8ac853,32 bit,Big endian,SPARC,38,Gaygyt/BASHLITE (2014)
01f237beec61c690d5e8610754c8c0e3,32 bit,Big endian,PowerPC,40,Gaygyt/BASHLITE (2014)
01f4b3e01466a71349c71789ffc95e13,32 bit,Little endian,i386,42,Mirai (2016)
01f561f323829106cd8bf48dcc63b621,32 bit,Big endian,SPARC,38,Gaygyt/BASHLITE (2014)
01f6316b6d457681247a68f2f9bb6f41,32 bit,Big endian,SPARC,40,Gaygyt/BASHLITE (2014)
01fb5f5ab35f49a097306d8561d8e861,32 bit,Little endian,i386,41,Gaygyt/BASHLITE (2014)
01fdc10511c8a4fd1ab834d7721d2971,32 bit,Big endian,MIPS R3000,4,Others
01fe381a0260ddb2aea49c37a0e47a8a,32 bit,Big endian,PowerPC,35,Gaygyt/BASHLITE (2014)
01fe596ecf9dd9b696cc847be3214a32,32 bit,Little endian,i386,41,Gaygyt/BASHLITE (2014)
0201cb3471502a9f2988e50eb2880796,64 bit,Little endian,AMD x86-64,40,Mirai (2016)
0202893ed141225dbf6355d3c6a25ad6,32 bit,Little endian,i386,41,Gaygyt/BASHLITE (2014)
0203086336705ff39a8ad808b948820f,64 bit,Little endian,AMD x86-64,27,Gaygyt/BASHLITE (2014)
0204e85a19a4c18894e7abb3e6f36f46,32 bit,Little endian,ARM,39,Gaygyt/BASHLITE (2014)
0206daf1cd924e45f914e1cbff843d31,32 bit,Little endian,MIPS R3000,37,Gaygyt/BASHLITE (2014)
020896fa71e08f1ecf7970637634e802,32 bit,Big endian,Motorola 68000,38,Gaygyt/BASHLITE (2014)
020d8f3dae9295fc244fcadbd8266775,32 bit,Little endian,ARM,40,Gaygyt/BASHLITE (2014)
020e71a3870e34c18b6e5d9ab2353039,32 bit,Big endian,PowerPC,40,Gaygyt/BASHLITE (2014)
020ee7aa5f3fad8d72986bfa626b1534,32 bit,Little endian,ARM,40,Hajime (2016)
020ee95a532455dbe23a992f51d034d3,64 bit,Little endian,AMD x86-64,43,Gaygyt/BASHLITE (2014)
02109328660b21d5417e38e338125409,32 bit,Little endian,ARM,38,Mirai (2016)
02153acbd19cdf3ac028e766e93f67aa,32 bit,Little endian,i386,39,Gaygyt/BASHLITE (2014)
0216aee2e9b92462179d8743aeded374,32 bit,Big endian,MIPS R3000,31,Mirai (2016)
0217b9e6b7059ceb992561d086346272,32 bit,Little endian,ARM,35,Gaygyt/BASHLITE (2014)
0218b3931c1164475b59d123edf1c4c8,32 bit,Big endian,SPARC,41,Gaygyt/BASHLITE (2014)
0218da455bb8d02edf9b0b8ee92b2d7f,32 bit,Big endian,PowerPC,41,Gaygyt/BASHLITE (2014)
02199599d275644d04519bc3a48ba8db,32 bit,Little endian,ARM,39,Gaygyt/BASHLITE (2014)
021a060fefb512f8d6a5d6faad0174b5,32 bit,Little endian,ARM,42,Mirai (2016)
021d7e88ead0e42a28d0ef74911a781d,64 bit,Little endian,AMD x86-64,37,Gaygyt/BASHLITE (2014)
0222fe4971640230663a2075dd61df6f,32 bit,Big endian,Motorola 68000,39,Gaygyt/BASHLITE (2014)
0223bff939c13cc1579b0f9bfd072ecf,32 bit,Little endian,i386,41,Gaygyt/BASHLITE (2014)
0223ec7d141a62966bbb6f71389d2922,32 bit,Big endian,MIPS R3000,41,Gaygyt/BASHLITE (2014)
02267ce4b0b96c7d63815bc0a1c56b4b,32 bit,Little endian,ARM,39,Gaygyt/BASHLITE (2014)
022a57de34a8f742ba97a77bf141fb4c,32 bit,Little endian,i386,40,Mirai (2016)
022b3b942b0029c3387f523ec5ca69f6,32 bit,Little endian,SuperH,35,Gaygyt/BASHLITE (2014)
0232a47bf90c111b1015d2dfed64ecc8,32 bit,Little endian,ARM,38,Gaygyt/BASHLITE (2014)
0232aa1251121cddcbaf6ebfc3d0e77f,32 bit,Little endian,i386,41,Mirai (2016)
02348dcc0977ca4e034715b41f0f72db,32 bit,Little endian,ARM,38,Gaygyt/BASHLITE (2014)
02371c44e90f1e269489f530dca0fd70,32 bit,Big endian,MIPS R3000,40,Gaygyt/BASHLITE (2014)
023961c5c352626ca0bf096be19f38ca,32 bit,Little endian,i386,41,Gaygyt/BASHLITE (2014)
023aa2bafa9558cc9ee4f540c6c96f06,32 bit,Little endian,i386,42,Gaygyt/BASHLITE (2014)
023abc4162bfc0895e0c6d168d960af7,64 bit,Little endian,AMD x86-64,43,Mirai (2016)
023c1a505358bf04091147cf71fd4021,32 bit,Big endian,MIPS R3000,34,Gaygyt/BASHLITE (2014)
023c6b4a17fa068b7cf046f5f8dac92f,32 bit,Little endian,ARM,36,Mirai (2016)
023d476e7ccfb09c909c16876c3a8239,32 bit,Little endian,MIPS R3000,41,Gaygyt/BASHLITE (2014)
023ee4926e76babac6a89420b43e21e9,32 bit,Little endian,ARM,39,Gaygyt/BASHLITE (2014)
02458ba329814533e27f7f34b365fc90,32 bit,Little endian,MIPS R3000,41,Gaygyt/BASHLITE (2014)
02460ecc564f17a2b91c980672d9cc3e,64 bit,Little endian,AMD x86-64,41,Gaygyt/BASHLITE (2014)
0247e5981537d34314ca545c45b76142,32 bit,Little endian,ARM,35,Mirai (2016)
024c094fff1f93ff68512d86b07d4f33,32 bit,Little endian,i386,38,Mirai (2016)
024d999a1f5b20832d086a746af6735e,32 bit,Little endian,ARM,38,Mirai (2016)
024ef474e823399c400ea4564aa855a5,32 bit,Big endian,Motorola 68000,40,Gaygyt/BASHLITE (2014)
0250367853a62dbd8065e3291e9ded44,32 bit,Little endian,ARM,41,Mirai (2016)
025535227c2b40dd1d0d2bf0a4575296,32 bit,Little endian,MIPS R3000,41,Gaygyt/BASHLITE (2014)
0255c6d7b88947c7bc82c9b06169e69d,32 bit,Little endian,ARM,38,Mirai (2016)
025cdeaa2f547d9c9bb7dac0a95a537c,32 bit,Little endian,ARM,40,Gaygyt/BASHLITE (2014)
026193b7c88d5519a8cb90c4c83707fb,32 bit,Little endian,i386,40,Gaygyt/BASHLITE (2014)
02655ac0395d63c37fe4f1cfce859161,32 bit,Little endian,ARM,40,Gaygyt/BASHLITE (2014)
0265b7759dc0ad035cb92341bb5b2ce5,32 bit,Little endian,MIPS R3000,40,Gaygyt/BASHLITE (2014)
02662213c7a783993e4b190f3ff27612,32 bit,Little endian,i386,41,Gaygyt/BASHLITE (2014)
0266898ea42c9350bb19c6f907b7f648,32 bit,Little endian,ARM,38,Gaygyt/BASHLITE (2014)
026a880fda741b0d755bfdbf9223efd0,32 bit,Little endian,ARM,40,Gaygyt/BASHLITE (2014)
026ba552fb4516027acab6628199ff90,32 bit,Big endian,SPARC,39,Gaygyt/BASHLITE (2014)
026f98e26942d5745b589069cf6dd143,64 bit,Little endian,AMD x86-64,42,Mirai (2016)
